Frame 13, ID:1, Class:2, Speed:25.42 km/h
Frame 13, ID:2, Class:2, Speed:26.6 km/h
Frame 13, ID:3, Class:2, Speed:13.53 km/h
Frame 13, ID:4, Class:2, Speed:3.16 km/h
Frame 13, ID:5, Class:2, Speed:14.17 km/h
Frame 13, ID:6, Class:2, Speed:4.38 km/h
Frame 13, ID:7, Class:2, Speed:2.87 km/h
Frame 13, ID:10, Class:2, Speed:32.5 km/h
Frame 13, ID:13, Class:2, Speed:82.22 km/h
Frame 13, ID:20, Class:2, Speed:3.16 km/h
Frame 13, ID:22, Class:5, Speed:14.48 km/h
Frame 14, ID:1, Class:2, Speed:18.85 km/h
Frame 14, ID:2, Class:2, Speed:33.22 km/h
Frame 14, ID:3, Class:2, Speed:1.53 km/h
Frame 14, ID:4, Class:2, Speed:4.07 km/h
Frame 14, ID:5, Class:2, Speed:13.86 km/h
Frame 14, ID:6, Class:2, Speed:6.17 km/h
Frame 14, ID:7, Class:2, Speed:3.67 km/h
Frame 14, ID:10, Class:2, Speed:15.96 km/h
Frame 14, ID:13, Class:2, Speed:77.65 km/h
Frame 14, ID:20, Class:2, Speed:4.31 km/h
Frame 14, ID:22, Class:5, Speed:15.55 km/h
Frame 15, ID:1, Class:2, Speed:16.84 km/h
Frame 15, ID:2, Class:2, Speed:23.07 km/h
Frame 15, ID:3, Class:2, Speed:3.15 km/h
Frame 15, ID:4, Class:2, Speed:7.81 km/h
Frame 15, ID:5, Class:2, Speed:17.2 km/h
Frame 15, ID:6, Class:2, Speed:4.8 km/h
Frame 15, ID:7, Class:2, Speed:9.96 km/h
Frame 15, ID:10, Class:7, Speed:7.97 km/h
Frame 15, ID:13, Class:2, Speed:66.9 km/h
Frame 15, ID:20, Class:2, Speed:0.79 km/h
Frame 15, ID:22, Class:5, Speed:14.71 km/h
Frame 15, ID:26, Class:2, Speed:0 km/h
Frame 16, ID:1, Class:2, Speed:11.96 km/h
Frame 16, ID:2, Class:2, Speed:32.24 km/h
Frame 16, ID:3, Class:2, Speed:9.75 km/h
Frame 16, ID:4, Class:2, Speed:2.08 km/h
Frame 16, ID:5, Class:2, Speed:11.38 km/h
Frame 16, ID:6, Class:2, Speed:1.67 km/h
Frame 16, ID:7, Class:2, Speed:0.4 km/h
Frame 16, ID:10, Class:2, Speed:0.51 km/h
Frame 16, ID:13, Class:2, Speed:43.83 km/h
Frame 16, ID:20, Class:2, Speed:1.43 km/h
Frame 16, ID:22, Class:5, Speed:12.74 km/h
Frame 16, ID:26, Class:2, Speed:7.14 km/h
Frame 17, ID:1, Class:7, Speed:17.08 km/h
Frame 17, ID:2, Class:2, Speed:26.73 km/h
Frame 17, ID:3, Class:2, Speed:12.56 km/h
Frame 17, ID:4, Class:2, Speed:2.97 km/h
Frame 17, ID:6, Class:2, Speed:3.98 km/h
Frame 17, ID:7, Class:2, Speed:3.46 km/h
Frame 17, ID:10, Class:7, Speed:5.9 km/h
Frame 17, ID:13, Class:2, Speed:54.19 km/h
Frame 17, ID:20, Class:2, Speed:3.3 km/h
Frame 17, ID:22, Class:5, Speed:14.15 km/h
Frame 17, ID:26, Class:2, Speed:11.09 km/h
Frame 18, ID:1, Class:7, Speed:18.14 km/h
Frame 18, ID:2, Class:2, Speed:22.49 km/h
Frame 18, ID:3, Class:2, Speed:17.5 km/h
Frame 18, ID:4, Class:2, Speed:3.38 km/h
Frame 18, ID:6, Class:2, Speed:4.7 km/h
Frame 18, ID:7, Class:2, Speed:1.29 km/h
Frame 18, ID:10, Class:7, Speed:4.33 km/h
Frame 18, ID:13, Class:2, Speed:47.84 km/h
Frame 18, ID:20, Class:2, Speed:2.31 km/h
Frame 18, ID:22, Class:5, Speed:16.36 km/h
Frame 18, ID:26, Class:2, Speed:26.33 km/h
Frame 19, ID:1, Class:2, Speed:12.08 km/h
Frame 19, ID:2, Class:2, Speed:15.57 km/h
Frame 19, ID:3, Class:2, Speed:8.92 km/h
Frame 19, ID:4, Class:2, Speed:3.31 km/h
Frame 19, ID:6, Class:2, Speed:2.92 km/h
Frame 19, ID:7, Class:2, Speed:3.26 km/h
Frame 19, ID:10, Class:7, Speed:5.67 km/h
Frame 19, ID:13, Class:2, Speed:32.28 km/h
Frame 19, ID:20, Class:2, Speed:2.03 km/h
Frame 19, ID:22, Class:5, Speed:6.82 km/h
Frame 19, ID:26, Class:2, Speed:4.83 km/h
Frame 19, ID:29, Class:2, Speed:0 km/h
Frame 19, ID:30, Class:2, Speed:0 km/h
Frame 20, ID:1, Class:2, Speed:5.9 km/h
Frame 20, ID:2, Class:2, Speed:11.26 km/h
Frame 20, ID:3, Class:2, Speed:1.94 km/h
Frame 20, ID:4, Class:2, Speed:1.63 km/h
Frame 20, ID:6, Class:2, Speed:2.34 km/h
Frame 20, ID:7, Class:2, Speed:2.65 km/h
Frame 20, ID:10, Class:7, Speed:3.05 km/h
Frame 20, ID:13, Class:2, Speed:22.35 km/h
Frame 20, ID:20, Class:2, Speed:1.06 km/h
Frame 20, ID:22, Class:5, Speed:2.26 km/h
Frame 20, ID:26, Class:2, Speed:4.16 km/h
Frame 20, ID:29, Class:2, Speed:21.19 km/h
Frame 20, ID:30, Class:2, Speed:12.78 km/h
Frame 21, ID:1, Class:2, Speed:12.04 km/h
Frame 21, ID:2, Class:2, Speed:19.78 km/h
Frame 21, ID:3, Class:2, Speed:3.21 km/h
Frame 21, ID:4, Class:2, Speed:3.94 km/h
Frame 21, ID:6, Class:2, Speed:3.84 km/h
Frame 21, ID:7, Class:2, Speed:1.02 km/h
Frame 21, ID:10, Class:7, Speed:5.95 km/h
Frame 21, ID:13, Class:2, Speed:38.38 km/h
Frame 21, ID:20, Class:2, Speed:2.31 km/h
Frame 21, ID:22, Class:5, Speed:33.19 km/h
Frame 21, ID:26, Class:2, Speed:4.3 km/h
Frame 21, ID:29, Class:2, Speed:41.55 km/h
Frame 21, ID:30, Class:2, Speed:26.15 km/h
Frame 22, ID:1, Class:2, Speed:8.46 km/h
Frame 22, ID:2, Class:2, Speed:10.7 km/h
Frame 22, ID:3, Class:2, Speed:2.46 km/h
Frame 22, ID:4, Class:2, Speed:3.88 km/h
Frame 22, ID:6, Class:2, Speed:12.91 km/h
Frame 22, ID:7, Class:2, Speed:1.69 km/h
Frame 22, ID:13, Class:2, Speed:34.7 km/h
Frame 22, ID:20, Class:2, Speed:1.55 km/h
Frame 22, ID:22, Class:5, Speed:22.64 km/h
Frame 22, ID:26, Class:2, Speed:1.61 km/h
Frame 22, ID:29, Class:2, Speed:41.06 km/h
Frame 22, ID:30, Class:7, Speed:28.15 km/h
Frame 23, ID:1, Class:2, Speed:11.13 km/h
Frame 23, ID:2, Class:2, Speed:15.13 km/h
Frame 23, ID:3, Class:2, Speed:1.98 km/h
Frame 23, ID:4, Class:2, Speed:5.08 km/h
Frame 23, ID:6, Class:2, Speed:3.1 km/h
Frame 23, ID:7, Class:2, Speed:4.13 km/h
Frame 23, ID:13, Class:2, Speed:30.7 km/h
Frame 23, ID:20, Class:2, Speed:4.83 km/h
Frame 23, ID:22, Class:5, Speed:15.76 km/h
Frame 23, ID:26, Class:2, Speed:3.37 km/h
Frame 23, ID:29, Class:2, Speed:35.16 km/h
Frame 23, ID:30, Class:2, Speed:24.27 km/h
Frame 24, ID:1, Class:2, Speed:14.95 km/h
Frame 24, ID:2, Class:2, Speed:6.14 km/h
Frame 24, ID:3, Class:2, Speed:3.6 km/h
Frame 24, ID:4, Class:2, Speed:2.75 km/h
Frame 24, ID:6, Class:2, Speed:5.18 km/h
Frame 24, ID:13, Class:2, Speed:31.06 km/h
Frame 24, ID:20, Class:2, Speed:2.12 km/h
Frame 24, ID:22, Class:5, Speed:9.82 km/h
Frame 24, ID:26, Class:2, Speed:0.6 km/h
Frame 24, ID:29, Class:7, Speed:36.02 km/h
Frame 24, ID:30, Class:2, Speed:25.12 km/h
Frame 24, ID:10, Class:7, Speed:0 km/h
Frame 25, ID:1, Class:2, Speed:13.6 km/h
Frame 25, ID:2, Class:2, Speed:16.46 km/h
Frame 25, ID:3, Class:2, Speed:5.37 km/h
Frame 25, ID:4, Class:2, Speed:4.03 km/h
Frame 25, ID:6, Class:2, Speed:2.53 km/h
Frame 25, ID:13, Class:2, Speed:34.63 km/h
Frame 25, ID:20, Class:2, Speed:6.47 km/h
Frame 25, ID:22, Class:5, Speed:23.11 km/h
Frame 25, ID:26, Class:2, Speed:5.85 km/h
Frame 25, ID:29, Class:7, Speed:37.55 km/h
Frame 25, ID:30, Class:7, Speed:29.92 km/h
Frame 25, ID:10, Class:7, Speed:7.51 km/h
Frame 26, ID:1, Class:2, Speed:8.62 km/h
Frame 26, ID:2, Class:2, Speed:19.54 km/h
Frame 26, ID:3, Class:2, Speed:4.88 km/h
Frame 26, ID:4, Class:2, Speed:3.65 km/h
Frame 26, ID:6, Class:2, Speed:3.06 km/h
Frame 26, ID:13, Class:2, Speed:34.37 km/h
Frame 26, ID:20, Class:2, Speed:4.03 km/h
Frame 26, ID:22, Class:5, Speed:28.93 km/h
Frame 26, ID:29, Class:7, Speed:64.5 km/h
Frame 26, ID:30, Class:7, Speed:22.59 km/h
Frame 26, ID:10, Class:7, Speed:4.36 km/h
Frame 27, ID:1, Class:2, Speed:12.45 km/h
Frame 27, ID:2, Class:2, Speed:18.65 km/h
Frame 27, ID:3, Class:2, Speed:6.64 km/h
Frame 27, ID:4, Class:2, Speed:4.36 km/h
Frame 27, ID:6, Class:2, Speed:4.76 km/h
Frame 27, ID:13, Class:2, Speed:35.03 km/h
Frame 27, ID:20, Class:2, Speed:3.02 km/h
Frame 27, ID:22, Class:6, Speed:28.58 km/h
Frame 27, ID:29, Class:7, Speed:75.64 km/h
Frame 27, ID:30, Class:2, Speed:23.6 km/h
Frame 27, ID:42, Class:7, Speed:0 km/h
Frame 28, ID:1, Class:2, Speed:9.75 km/h
Frame 28, ID:2, Class:2, Speed:30.72 km/h
Frame 28, ID:3, Class:2, Speed:6.36 km/h
Frame 28, ID:4, Class:2, Speed:1.57 km/h
Frame 28, ID:6, Class:2, Speed:6.81 km/h
Frame 28, ID:13, Class:2, Speed:29.97 km/h
Frame 28, ID:22, Class:6, Speed:22.5 km/h
Frame 28, ID:29, Class:2, Speed:83.08 km/h
Frame 28, ID:30, Class:7, Speed:26.12 km/h
Frame 28, ID:42, Class:2, Speed:20.88 km/h
Frame 29, ID:1, Class:2, Speed:13.63 km/h
Frame 29, ID:2, Class:2, Speed:17.4 km/h
Frame 29, ID:3, Class:2, Speed:4.12 km/h
Frame 29, ID:4, Class:2, Speed:2.62 km/h
Frame 29, ID:6, Class:2, Speed:20.3 km/h
Frame 29, ID:13, Class:2, Speed:34.92 km/h
